y (mm)	Média	Incerteza
200	1,53	0,018176292
180	1,51	0,031966633
160	1,54	0,019002905
140	1,47	0,018176292
120	1,47	0,043386449
100	1,51	0,071640614
80	1,44	0,06247452
70	1,44	0,072440497
60	1,43	0,145937762
50	1,31	0,051634004
40	1,27	0,075045224
30	1,08	0,04579862
20	1,08	0,129181695
10	0,95	0,061232357
0	0,79	0,13961475
-10	0,95	0,061232357
-20	1,08	0,129181695
-30	1,08	0,04579862
-40	1,27	0,075045224
-50	1,31	0,051634004
-60	1,43	0,145937762
-70	1,44	0,072440497
-80	1,44	0,06247452
-100	1,51	0,071640614
-120	1,47	0,043386449
-140	1,47	0,018176292
-160	1,54	0,019002905
-180	1,51	0,031966633
-200	1,53	0,018176292

