y (mm)	Média	Incerteza
200	1,11	0,016860558
180	1,09	0,020927073
160	1,12	0,013859293
140	1,11	0,030990321
120	1,12	0,03800581
100	1,1	0,040453944
80	1,09	0,025555273
70	1,07	0,054175478
60	0,94	0,056670783
50	0,95	0,050505667
40	0,95	0,050200494
30	0,92	0,060411257
20	0,86	0,042762151
10	0,77	0,072014998
0	0,6	0,044436273
-10	0,77	0,072014998
-20	0,86	0,042762151
-30	0,92	0,060411257
-40	0,95	0,050200494
-50	0,95	0,050505667
-60	0,94	0,056670783
-70	1,07	0,054175478
-80	1,09	0,025555273
-100	1,1	0,040453944
-120	1,12	0,03800581
-140	1,11	0,030990321
-160	1,12	0,013859293
-180	1,09	0,020927073
-200	1,11	0,016860558
