y (mm)	Média	Incerteza
200	0,22	0,028131292
180	0,22	0,028672328
160	0,22	0,015923115
140	0,19	0,022857331
120	0,13	0,044436273
100	0,01	0,022347438
80	-0,1	0,050200494
70	-0,17	0,067156819
60	-0,28	0,052810999
50	-0,3	0,025854176
40	-0,4	0,055644673
30	-0,62	0,091387299
20	-0,68	0,07701578
10	-0,64	0,089732901
0	-0,56	0,16591837
-10	-0,64	0,089732901
-20	-0,68	0,07701578
-30	-0,62	0,091387299
-40	-0,4	0,055644673
-50	-0,3	0,025854176
-60	-0,28	0,052810999
-70	-0,17	0,067156819
-80	-0,1	0,050200494
-100	0,01	0,022347438
-120	0,13	0,044436273
-140	0,19	0,022857331
-160	0,22	0,015923115
-180	0,22	0,028672328
-200	0,22	0,028131292
