y (mm)	Média	Incerteza
200	0,15	0,013859293
180	0,14	0,018176292
160	0,14	0,011428666
140	0,13	0,018176292
120	0,07	0,029465261
100	-0,02	0,037701353
80	-0,07	0,029465261
70	-0,1	0,044866451
60	-0,2	0,032206086
50	-0,28	0,081992683
40	-0,37	0,088872547
30	-0,38	0,031966633
20	-0,49	0,072652312
10	-0,55	0,075504532
0	-0,55	0,044951992
-10	-0,55	0,075504532
-20	-0,49	0,072652312
-30	-0,38	0,031966633
-40	-0,37	0,088872547
-50	-0,28	0,081992683
-60	-0,2	0,032206086
-70	-0,1	0,044866451
-80	-0,07	0,029465261
-100	-0,02	0,037701353
-120	0,07	0,029465261
-140	0,13	0,018176292
-160	0,14	0,011428666
-180	0,14	0,018176292
-200	0,15	0,013859293
